width,max_num_blocks,num_nodes,required_bits_lowerbound,required_bits_upperbound
64,16,2767208,5534416,10694976
64,16,2965821,5931642,11208416
64,16,3178689,6357378,11771936
64,16,3406836,6813672,12519328
64,16,3651352,7302704,13462560
64,16,3913423,7826846,14646400
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,2,4,416
64,64,3,6,416
64,64,3,6,416
64,64,3,6,416
64,64,3,6,416
64,64,3,6,416
64,64,4,8,416
64,64,4,8,416
64,64,4,8,416
64,64,4,8,416
64,64,4,8,416
64,64,5,10,416
64,64,5,10,416
64,64,5,10,416
64,64,6,12,416
64,64,6,12,416
64,64,7,14,416
64,64,7,14,416
64,64,7,14,416
64,64,8,16,416
64,64,8,16,416
64,64,9,18,416
64,64,10,20,416
64,64,10,20,416
64,64,11,22,416
64,64,12,24,416
64,64,13,26,416
64,64,13,26,416
64,64,14,28,416
64,64,15,30,416
64,64,16,32,416
64,64,18,36,416
64,64,19,38,416
64,64,20,40,416
64,64,22,44,416
64,64,23,46,416
64,64,25,50,416
64,64,26,52,416
64,64,28,56,416
64,64,30,60,416
64,64,32,64,416
64,64,35,70,480
64,64,37,74,480
64,64,40,80,480
64,64,43,86,480
64,64,46,92,480
64,64,49,98,480
64,64,52,104,480
64,64,56,112,480
64,64,60,120,480
64,64,64,128,480
64,64,69,138,544
64,64,74,148,544
64,64,79,158,544
64,64,85,170,544
64,64,91,182,544
64,64,98,196,608
64,64,104,208,608
64,64,112,224,608
64,64,120,240,608
64,64,128,256,608
64,64,138,276,672
64,64,148,296,672
64,64,158,316,672
64,64,169,338,736
64,64,182,364,736
64,64,195,390,800
64,64,208,416,800
64,64,223,446,800
64,64,239,478,864
64,64,256,512,864
64,64,275,550,928
64,64,295,590,992
64,64,316,632,992
64,64,338,676,1056
64,64,363,726,1120
64,64,389,778,1184
64,64,416,832,1184
64,64,446,892,1248
64,64,478,956,1312
64,64,512,1024,1376
64,64,549,1098,1504
64,64,589,1178,1568
64,64,631,1262,1632
64,64,676,1352,1760
64,64,725,1450,1824
64,64,777,1554,1952
64,64,832,1664,2016
64,64,892,1784,2144
64,64,956,1912,2272
64,64,1024,2048,2400
64,64,1098,2196,2592
64,64,1177,2354,2720
64,64,1261,2522,2912
64,64,1352,2704,3104
64,64,1449,2898,3296
64,64,1553,3106,3488
64,64,1664,3328,3680
64,64,1783,3566,3936
64,64,1911,3822,4192
64,64,2048,4096,4448
64,64,2195,4390,5440
64,64,2353,4706,5760
64,64,2522,5044,6080
64,64,2703,5406,6400
64,64,2897,5794,6848
64,64,3105,6210,7232
64,64,3327,6654,7680
64,64,3566,7132,8128
64,64,3822,7644,8704
64,64,4096,8192,9824
64,64,4390,8780,11136
64,64,4706,9412,11712
64,64,5043,10086,12416
64,64,5405,10810,13056
64,64,5793,11586,13824
64,64,6209,12418,14784
64,64,6654,13308,15552
64,64,7132,14264,16576
64,64,7644,15288,17664
64,64,8192,16384,20032
64,64,8780,17560,22400
64,64,9411,18822,23680
64,64,10086,20172,25216
64,64,10810,21620,26496
64,64,11586,23172,28032
64,64,12417,24834,29696
64,64,13308,26616,31552
64,64,14264,28528,33408
64,64,15287,30574,35456
64,64,16384,32768,40128
64,64,17560,35120,45056
64,64,18821,37642,47680
64,64,20172,40344,50368
64,64,21619,43238,53184
64,64,23171,46342,56320
64,64,24834,49668,59712
64,64,26616,53232,63104
64,64,28527,57054,67072
64,64,30574,61148,71840
64,64,32768,65536,80640
64,64,35120,70240,89568
64,64,37641,75282,95488
64,64,40343,80686,100928
64,64,43238,86476,106560
64,64,46341,92682,112960
64,64,49668,99336,119680
64,64,53232,106464,126592
64,64,57053,114106,134144
64,64,61148,122296,145760
64,64,65536,131072,160256
64,64,70240,140480,179232
64,64,75282,150564,191104
64,64,80685,161370,202048
64,64,86476,172952,213504
64,64,92682,185364,226048
64,64,99335,198670,239424
64,64,106464,212928,253696
64,64,114105,228210,268928
64,64,122295,244590,290240
64,64,131072,262144,322784
64,64,140480,280960,357216
64,64,150563,301126,382720
64,64,161369,322738,404416
64,64,172951,345902,427648
64,64,185364,370728,452416
64,64,198669,397338,478912
64,64,212928,425856,507584
64,64,228210,456420,538048
64,64,244589,489178,581056
64,64,262144,524288,645056
64,64,280960,561920,714656
